2025-09-08 16:45:49 JST - INFO - 損失: Conv=120.519, Seq=183.978, Dist=0.002, 総計=304.499
2025-09-08 16:45:50 JST - INFO - 損失: Conv=122.165, Seq=183.438, Dist=0.002, 総計=305.605
2025-09-08 16:45:50 JST - INFO - 損失: Conv=135.697, Seq=198.984, Dist=0.004, 総計=334.685
2025-09-08 16:45:50 JST - INFO - 損失: Conv=148.660, Seq=202.987, Dist=0.006, 総計=351.653
2025-09-08 16:45:51 JST - INFO - 損失: Conv=132.580, Seq=177.294, Dist=0.006, 総計=309.879
2025-09-08 16:45:52 JST - INFO - 損失: Conv=117.033, Seq=139.772, Dist=0.007, 総計=256.812
2025-09-08 16:45:52 JST - INFO - 損失: Conv=144.230, Seq=160.174, Dist=0.011, 総計=304.415
2025-09-08 16:45:52 JST - INFO - 損失: Conv=122.725, Seq=131.445, Dist=0.014, 総計=254.184
2025-09-08 16:45:53 JST - INFO - 損失: Conv=114.652, Seq=120.564, Dist=0.015, 総計=235.232
2025-09-08 16:45:53 JST - INFO - 損失: Conv=142.834, Seq=168.931, Dist=0.022, 総計=311.787
2025-09-08 16:45:53 JST - INFO - 損失: Conv=125.950, Seq=161.577, Dist=0.024, 総計=287.550
2025-09-08 16:45:54 JST - INFO - 損失: Conv=96.199, Seq=128.753, Dist=0.017, 総計=224.969
2025-09-08 16:45:54 JST - INFO - 損失: Conv=116.527, Seq=143.711, Dist=0.017, 総計=260.255
2025-09-08 16:45:54 JST - INFO - 損失: Conv=122.998, Seq=122.542, Dist=0.021, 総計=245.561
2025-09-08 16:45:55 JST - INFO - 損失: Conv=110.486, Seq=148.156, Dist=0.016, 総計=258.658
2025-09-08 16:45:55 JST - INFO - 損失: Conv=112.837, Seq=136.076, Dist=0.019, 総計=248.932
2025-09-08 16:45:55 JST - INFO - 損失: Conv=114.104, Seq=133.036, Dist=0.020, 総計=247.160
2025-09-08 16:45:56 JST - INFO - 損失: Conv=132.482, Seq=151.093, Dist=0.020, 総計=283.594
2025-09-08 16:45:56 JST - INFO - 損失: Conv=102.902, Seq=117.947, Dist=0.020, 総計=220.869
2025-09-08 16:45:56 JST - INFO - 損失: Conv=95.194, Seq=109.791, Dist=0.014, 総計=204.999
2025-09-08 16:45:57 JST - INFO - 損失: Conv=131.841, Seq=126.917, Dist=0.020, 総計=258.778
2025-09-08 16:45:57 JST - INFO - 損失: Conv=102.186, Seq=110.867, Dist=0.025, 総計=213.078
2025-09-08 16:45:57 JST - INFO - 損失: Conv=101.338, Seq=105.089, Dist=0.013, 総計=206.440
2025-09-08 16:45:58 JST - INFO - 損失: Conv=118.812, Seq=115.042, Dist=0.027, 総計=233.881
2025-09-08 16:45:58 JST - INFO - 損失: Conv=112.637, Seq=103.837, Dist=0.017, 総計=216.490
2025-09-08 16:45:59 JST - INFO - 損失: Conv=119.713, Seq=100.595, Dist=0.030, 総計=220.337
2025-09-08 16:45:59 JST - INFO - 損失: Conv=104.525, Seq=79.629, Dist=0.030, 総計=184.183
2025-09-08 16:45:59 JST - INFO - 損失: Conv=105.361, Seq=73.153, Dist=0.022, 総計=178.535
2025-09-08 16:46:00 JST - INFO - 損失: Conv=104.686, Seq=62.902, Dist=0.021, 総計=167.609
2025-09-08 16:46:00 JST - INFO - 損失: Conv=97.648, Seq=55.642, Dist=0.018, 総計=153.308
2025-09-08 16:46:00 JST - INFO - 損失: Conv=114.101, Seq=63.647, Dist=0.023, 総計=177.771
2025-09-08 16:46:01 JST - INFO - 損失: Conv=109.682, Seq=63.930, Dist=0.015, 総計=173.628
2025-09-08 16:46:01 JST - INFO - 損失: Conv=84.592, Seq=55.782, Dist=0.014, 総計=140.388
2025-09-08 16:46:02 JST - INFO - 損失: Conv=81.677, Seq=55.180, Dist=0.012, 総計=136.868
2025-09-08 16:46:02 JST - INFO - 損失: Conv=119.998, Seq=72.234, Dist=0.015, 総計=192.246
2025-09-08 16:46:03 JST - INFO - 損失: Conv=102.827, Seq=56.942, Dist=0.021, 総計=159.789
2025-09-08 16:46:03 JST - INFO - 損失: Conv=82.400, Seq=51.818, Dist=0.013, 総計=134.231
2025-09-08 16:46:03 JST - INFO - 損失: Conv=102.721, Seq=65.738, Dist=0.021, 総計=168.479
2025-09-08 16:46:04 JST - INFO - 損失: Conv=117.479, Seq=74.236, Dist=0.019, 総計=191.734
2025-09-08 16:46:04 JST - INFO - 損失: Conv=81.488, Seq=56.943, Dist=0.010, 総計=138.441
2025-09-08 16:46:05 JST - INFO - 損失: Conv=97.052, Seq=67.440, Dist=0.021, 総計=164.512
2025-09-08 16:46:05 JST - INFO - 損失: Conv=89.779, Seq=56.381, Dist=0.019, 総計=146.179
